Centre address	No_Street	StreetName	Suburb	ID
PETUNIA STREET, ONS RUS, GOUDA		PETUNIA STREET	ONS RUS	823
GOUDINI PRIMARY, GOUDINI-BAD, RAWSONVILLE		GOUDINI-BAD	GOUDINI-BAD	824
GRAAFWATER PRIMARY, SONNEBLOM STREET, GRAAFWATER		SONNEBLOM STREET	GRAAFWATER	825
VICTORIA ROAD, GRASSY PARK HS, GRASSY PARK		VICTORIA ROAD	GRASSY PARK	829
ROODSHOEK WAY, WELLINGTON, WELLINGTON		WELLINGTON	WELLINGTON	833
DALWEIDE PRIMARY, SYMPHONY AVENUE,GROENHEUWEL, PAARL		SYMPHONY AVENUE	GROENHEUWEL	835
GSH Training and Development C,Groote Schuur Hospital, OBSERVATORY		Groote Schuur Hospital	OBSERVATORY	836
NORTINGHAM STREET, SHERWOOD PARK, ATLANTIS		NORTINGHAM STREET	SHERWOOD PARK	843
EDUCATION AND TRAINING, ADDY STREET, WELLINGTON		ADDY STREET	WELLINGTON	845
P/A GREYTON ROAD, HELDERSTROOM PRISON, CALEDON		P/A GREYTON ROAD	CALEDON	848
HERMANUSHEUWEL PLAAS, HERMANUSHEUWEL/ZOUTKLOOF, BREDASDORP		HERMANUSHEUWEL/ZOUTKLOOF	HERMANUSHEUWEL/ZOUTKLOOF	851
HERMON, WELLINGTON, WELLINGTON		WELLINGTON	WELLINGTON	852
DIEPKLOOF YOUTH CENTRE, LAMOELA STREET, HEIDELBERG		LAMOELA STREET	HEIDELBERG	853
C/O AJAX AND HIGHLANDS ROAD, WOODLANDS, MITCHELL'S PLAIN		C/O AJAX AND HIGHLANDS ROAD	WOODLANDS	854
HOLVLEI PRIMER, HOLVLEI, MOORREESBURG		HOLVLEI	HOLVLEI	855
C/O WATERBLOM STREET AND MAIN, WEST BANK, KUILS RIVER		C/O WATERBLOM STREET AND MAIN	WEST BANK	857
HOPEFIELD PRIMARY, SCHOOL STREET, HOPEFIELD		SCHOOL STREET	HOPEFIELD	858
HOUDCONSTANT, PORTERVILLE, PORTERVILLE		PORTERVILLE	PORTERVILLE	861
GOLF STREET, PARKDEN, GEORGE		GOLF STREET	PARKDEN	862
SKOOLSTREET, RUSTDENE, BEAUFORT WEST		SKOOLSTREET	RUSTDENE	864
RIDDER STREET, BLOMPARK, GANSBAAI		RIDDER STREET	BLOMPARK	867
CEDILE STREET, KWANONQABA, MOSSEL BAY		CEDILE STREET	KWANONQABA	868
HOLOMISA STREET, ILLINGELETHU, MALMESBURY		HOLOMISA STREET	ILLINGELETHU	869
C/O CHRIS HANI HS, CEKECA ROAD, KHAYELITSHA		CEKECA ROAD	KHAYELITSHA	872
CHURCH STREET, WORCESTER, WORCESTER		CHURCH STREET	WORCESTER	889
