ORIGINAL ID,NEW ID,primary_institution,website
745,745,REDELINGHUYS SATELLIET,
258,258,REEDS MOTORS TABLE VIEW (PTY) LTD (Table View),
577,31,Regent Business School (Pty) Ltd t/a Regent Business School?ÿ,
31,31,Regent Business School (Pty) Ltd?ÿ,
497,497,Reko Rekenmeesters Ingelyf?ÿ,
416,416,RIEBEECK KASTEEL,
659,659,RIEBEECK-WES,
73,73,RIETPOEL,
451,451,RIETVLEI,
697,697,RIVERLANDS CLC,
273,273,RIVERSDAL GELETTERDHEIDSTIGTING,
667,667,RIVIERSONDEREND LITERACY CENTRE,
491,491,ROBERTSON GEMEENSKAP LEERSENTRUM,
286,286,ROBERTSON PRISON,
305,305,ROCKLANDS,
7,7,ROSA GELETTERHEIDSENTRUM,
160,160,Rotolabel (TVL) (Pty) Ltd,
695,695,RR VAN RENSBURG T/A DOLPHIN MOTORS (Oudtshoorn),
438,438,RSA Litho,
223,223,RUST STASIE,
712,712,Ruth Prowse School of Art NPC,
816,816,RUYTERWACHT CLC,
443,443,RW MAGSON & SON T/A OLIVIERS GARAGE (Strand),
739,739,SA College of Home Study (Pty) Ltd?ÿ,
331,331,Sa Fine Worsteds,
373,373,SA German Training Services?ÿ,
179,179,SA Litho Printing & Packaging,
578,578,SAB & T Chartered Accountants Inc?ÿ,
547,547,SAB NEWLANDS,
227,227,Safepak(Pty)Ltd,
799,799,SAFICON INDUSTRIAL EQUIPMENT T/A TOYOTA FORKLIFT (Parow)(DTTC),
512,512,SAKHISIZWE CLC,
358,358,SAMORA MACHEL CLC,
462,462,Samsons School of Welding T/A Samsons Skills Development Institute (PHILLIPI) (TP),
772,772,SANDHILLS ADULT LEARNING CENTRE,
63,63,"Sandown Motor Holdings (Pty) Ltd - Montague Gardens, Cape Town (MONTAGUE GARDENS) (TP)",
793,63,SANDOWN MOTOR HOLDINGS (PTY) LTD T/A EIKESTAD MOTORS (Milnerton)NOT ACTIVE,
502,63,SANDOWN MOTOR HOLDINGS (PTY) LTD T/A ORBIT MOTORS N1 CITY (N1 City)NOT ACTIVE,
276,276,Sanlam Limited,
4,4,SAO BRAS SECONDARY ALC,
353,353,SARON,
12,12,Sasko Pasta (Pty) Ltd,
453,453,SATURNUS,
212,212,Savanna College?ÿ,
26,26,SBV SERVICES?ÿ,
398,398,SCHOEMANSHOEK,
130,130,SCHOONSPRUIT SECONDARY (ALC),
27,27,SCHWARTE ENGINEERING (PTY) LTD (Paarl),
640,640,SDK Chartered Accountants?ÿ,
716,716,SEA HARVEST CORPORATION PTY LTD,
300,300,SED Printing Solutions (Pty) Ltd,
75,75,SEDERBERG ALC,
765,765,SELECTA SEA PRODUCTS (PTY) LTD,
252,252,SEPTEMBERSKRAAL,
707,707,SHARE ALC,
523,523,SHILOH EDUCATION AND TRAINING ACADEMY,
290,290,Shumani Printers,
664,664,SIFUNULWAZI ALC,
288,288,SIJONGA-PHAMBILI CLC,
650,650,SIKELELA CLC,
289,289,Sikhula Agri Training,
496,496,Silulo Ulutho Technologies,
494,494,SILVER SOLUTIONS TRAINING ACADEMY,
354,354,SIMONDIUM VOLWASSE ONDERWYSSENTRUM,
487,487,SIMUNYE ALC,
429,429,SIR LOWRYS PASS CENTRE,
638,638,SIYAFUNA UKUFUNDA CENTRE,
810,810,SIYAKHANYISA CLC,
336,336,SIYAKHUTHAZA CLC,
308,308,Siyathembana Trading 46 (Pty) Ltd (CAPE TOWN) (Non Merseta TP),
506,506,SIYAZAMA ALC,
619,619,SLANGHOEK ALC,
78,78,SLOT VAN PAARL,
320,320,SMITH & FAULDS T/A RC AUTO ELECTRIC (Bellville),
114,114,SNAP SOLUTIONS NETWX PTY LTD?ÿ,
559,559,Social Impact Ministry Sikhula Sonke,
405,405,SOETENDAL ALC,
782,782,SOETMELKSVLEI,
95,95,Sound Interactions CC,
224,224,South African ABET Development Agency SAADA?ÿ,
294,294,SOUTH AFRICAN ASTRONOMICAL OBSERVATORY (Observatory),
315,315,South African College of Applied Psychology (Pty) Ltd (The),
157,157,South African School of Motion Picture Medium & Live Performance (Pty) Ltd  t/a AFDA (The),
454,377,South Cape College,
389,377,South Cape College - George,
195,377,South Cape College (GEORGE) (TP),
377,377,South Cape FET College,
509,509,SOUTHERN SUBURBS YOUTH ACADEMY,
795,795,SPECIAL ASSET PROTECTION SERVICES KRAAIFONTEIN?ÿ,
263,263,Spectraprint,
65,65,Spilo Pty Ltd,
274,274,SPRINGBOK MOTOR REWINDS (PTY) LTD (Springbok),
760,760,ST FRANCIS ALC,
119,119,ST. ALBANS PRIM ALC,
60,60,ST. HELENABAAI CLC,
705,705,Staffing Direct Training Academy (Pty) Ltd,
725,705,Staffing Direct Training Academy Pty Ltd,
586,586,STALLION LEARNING CENTRE PTY LTD?ÿ,
702,702,STAWELKLIP PRIMER,
83,83,STEENBERG ALC,
489,489,STEINHOFF FURNITURE T/A BAKKER & STEYGER (Epping),
282,282,Stellenbosch Academy of Design and Photography (Pty) Ltd,
36,36,STELLENBOSCH CLC,
175,175,STELLENBOSCH PREMIER MANUFACTURERS T/A STELLENBOSCH NACO (Stellenbosch),
245,245,STEYNVILLE SEKONDER,
253,253,STORMSVLEI,
76,76,SUNNYSIDE GELETTERHEIDSENTRUM,
39,39,SUPREME CYLINDERS (Beaconvale),
646,646,Supreme Skills Academy (Pty) Ltd (Goup Indigo),
658,658,Sustainability Institute Trust: Learning For Sustainability,
67,67,Swartland Boudienste (Edms) Bpk?ÿ,
37,37,SWELLENDAM SECONDARY ALC,
676,676,SWIFT MICRO LABORATORIES (PTY) LTD,
552,552,Tenk Loubser (Cape Town) Ingelyf?ÿ,
57,57,The Automobile Association of South Africa T/A AA Training Academy (PAROW) (DTTC),
213,213,THE CAPE SHOOTING ACADEMY WC?ÿ,
543,543,THE CRAGS,
599,599,The Educo Trust of Africa,
246,246,THE FRESH FOODS ACADEMY (PTY) LTD,
694,694,The Fundamentals Training Centre,
355,355,THE SOUTH AFRICAN SCHOOL OF PARALEGAL STUDIES?ÿ,
471,471,The Water Academy,
774,774,THEMBALETHU,
134,134,Theron Du Plessis Helderberg?ÿ,
403,403,Thunderbolt Solutions (Pty) Ltd,
534,534,TLN Human Performace Systems (Pty) Ltd,
215,215,TOORKRANS,
244,244,Torque Technical Computer Training (Pty) Ltd T/A Torque-IT (CAPE TOWN) (Non Merseta TP),
472,472,Tourism and Business Institute of SA,
653,653,TOURIST GUIDE INSTITUTE,
419,419,TOUWSRIVIER GEMEENSKAP ONDERWYSSENTRUM,
121,48,Training Force (Pty) Ltd (CAPE TOWN) (TP),
48,48,Training Force (Pty) Ltd?ÿ,
602,602,Trident Press (Pty) Limited,
233,233,Triple C Repro & Print,
306,306,TSIBA Education NPC,
590,590,TSK Projects?ÿ,
20,20,TULBAGH ALC,
155,155,Two A Day Group (Pty) Ltd,
283,283,TYGERBERG HOSPITAL,
413,413,UITZIG SECONDARY ALC,
501,501,UKETSHA SECURITY SERVICES?ÿ,
661,661,Ukuphela Training cc,
539,539,UMTHA WELANGA ALC,
503,503,United Controls & Air Conditioning (Cape) T/A Techniskills Training (CAPE TOWN) (TP),
254,254,University of Cape Town,
348,348,University of Stellenbosch,
647,647,University of Western Cape,
560,560,VAN CUTSEM CLC,
139,139,VAN REENEN ENGINEERING ENTERPRISES cc (Rooiels),
624,624,VAN RHYNSDORP CORRECTIONAL SERVICES,
603,603,VAN RHYNSDORP VEELDOELIGE SENTRUM,
407,407,VAN WYKSDORP,
691,691,VAN ZYLSDAMME,
521,521,VELDDRIFT,
563,563,VERSAPAK (PTY) LTD (Daljosaphat),
156,156,VETUS SCHOLA PROTECTION SERVICES (PTY) LTD?ÿ,
186,186,VILLIERSDORP VOLWASSE ONDERRIG EN OPLEI,
570,570,Vineyard Academy,
510,510,VLAKTEPLAAS,
492,492,Volkswagen Group South Africa Training Academy (Cape Town) (TP),
231,231,VOORBERG MEDIUM B ALC,
284,284,VOORBRUG ALC,
711,711,VREDELUS HOUSE PLACE OF SAFETY CLC,
625,625,VUKANI ADULT LEARNING CENTRE,
500,500,VUYISILE ALC,
594,594,WAREHAM & ASSOCIATES (PTY) LTD,
307,307,Webb Accounting CC?ÿ,
165,165,WELLINGTON ALC,
714,165,WELLINGTON COMMUNITY LEARNING CENTRE,
81,692,WEST COAST COLLEGE - VREDENBURG CAMPUS (Vredenburg)(DTTC),
475,692,West Coast College (Vredendal Campus) (Vredendal) (TP),
542,692,West Coast College /FET,
692,692,West Coast FET College,
235,692,West Coast FET College (Atlantis) (DTTC),
51,692,West Coast FET College (VREDENBURG) (TP),
329,329,West Coast Hair Academy Pty Ltd,
654,692,WEST COAST TVET COLLEGE,
427,427,WESTBANK LIFE LONG LEARNING CENTRE,
126,126,Westco Agri Training,
70,70,Western Province Caterers (pty) Ltd,
164,164,WESTON HOER,
50,50,WESTWOOD-STRANDFONTEIN CLC,
8,8,WHITE LOCATION,
544,544,Wildlife and Environment Society of South Africa?ÿ,
86,86,WILLEMVALLEI CLC,
753,753,WILLY GRASER CC T/A STEENBERG MOTORS (Retreat),
796,796,WINDERMERE CLC,
698,698,WINDMEUL PRIM??R,
184,184,WINSLEY CLC,
445,445,WITZENBERG CLC,
448,448,WKRP ENGINEERING T/A TOOLCO (Stikland),
380,380,WOLSELEY (Satellte),
11,11,WOODLANDS COMMUNITY LEARNING CENTRE,
14,14,WOODSTOCK CLC,
278,278,WORCESTER CLC,
641,641,WORCESTER CORRECTIONAL SERVICES,
41,41,WORCESTER PROJECT MAINTENANCE (Worcester),
321,321,WYNLAND INGENIEURSWESE (Stellenbosch),
808,808,Y3K Training cc (CAPE TOWN) (TP),
434,434,YOGLOBE,
277,277,YORK INTERNATIONAL (AIRCONDITIONING) (Maitland),
324,324,Zambli220 PTY LTD T/A POWDERMET (Atlantis),
495,495,ZANOKHANYO ALC,
555,555,ZOAR/AMALIEN STEIN,
136,136,ZOLANI ALC,
378,378,ZWELIHLE ALC,
