ORIGINAL ID,NEW ID,primary_institution,website
645,645,CITY OF CAPE TOWN ALC,
46,46,City Varsity t/a Film & Television & Multimedia School,
803,803,CITY VIEW BUSINESS COLLEGE AND COMPUTER STUDIES?ÿ,
788,788,Climal Creative Projects,
128,128,CLOETESVILLE SECONDARY ALC,
581,581,Clover SA (Pty) Ltd Parow,
436,436,COLLABORATIVE MINDS,
228,43,COLLEGE OF CAPE TOWN,
312,43,College of Cape Town,
776,43,College of Cape Town - Pinelands Campus,
135,43,COLLEGE OF CAPE TOWN (City Campus) (Non Merseta TP),
728,43,College of Cape Town (City Campus)?ÿ,
43,43,College of Cape Town FET College,
414,43,College of Cape Town: Athlone Campus,
773,43,College of Cape Town: Pineland Campus,
131,43,College of Cape Town: Thorton Campus,
721,721,College of Sustainable Agriculture,
511,511,Collotype Labels,
399,399,Colors Packhouse (Pty) Ltd,
240,240,Colourtone Press,
423,423,Community Media Trust,
797,797,Community Water Supply & Sanitation Unit,
530,530,Competency International SA (Pty) Ltd- To Remove,
699,699,Concept Interactive (Cape) cc,
257,257,CONDITION YELLOW SKILLS DEVELOPMENT AND FIREARMS TRAINING ACADEMY?ÿ,
628,628,Consol Limited: Consumer Flexible Packaging,
363,363,Continuing Education for Africa,
266,266,CONVILLE,
719,719,Cornerstone Institute (RF) NPC,
222,222,Cornway Training & Placement Center - Bellville?ÿ,
463,463,Creda Communications (W.C),
92,92,Credit Blende Training (Pty) Ltd?ÿ,
790,790,CROSS SKILLS DEVELOPMENT,
204,204,CTP Limited,
325,325,CTP Printers - Cape Town,
205,205,Culhane Consulting,
709,709,CWESI CLC,
311,311,Cyber Minds (PTY) Limited,
786,786,D C ENGINEERING (TULBAGH),
476,476,DAIRYBELLE (PTY) LTD - CAPE TOWN,
424,424,DAL JOSAFAT ALC,
344,344,DAMBA ALC,
314,649,Damelin - Mowbray?ÿ,
649,649,Damelin (Pty) Ltd,
267,649,Damelin Correspondence College (Pty) Ltd,
365,649,"Damelin Correspondence College (Pty) Ltd CG,",
243,649,Damelin Correspondence College?ÿ,
342,649,DAMELIN EDUCATION GROUP (Vredenburg)(TP),
44,649,Damelin Namaqualand (Springbok),
18,649,Damelin PTY Ltd,
677,649,DAMELIN TECHNICAL DIVISION (Cape Town)(TP),
565,565,DANKBAAR,
446,446,Dantall,
