Old_ID,New_ID,_long_description,provider_id
89,89,"BELMET TRAINING CENTRE T/A BELMET MARINE (PTY) LTD (Bellville)(TP) - Atomic Street, Triangle Farms, BELLVILLE, 7530",553
511,511,"Bennet J Financial Services - 3 Kariga Street, Stikland Industrial, Bellville, 7530",682
512,512,"BERGHOF - LANGSTRAAT, BERGHOF, PORTERVILL",775
513,513,"BERGSIG - KUDU ROAD, BRIDGTON, OUDTSHOORN",199
514,514,"Bernard Shaw Ouditeure Ing - Office D8, Block D",193
515,515,"BEYERS TRUST FARMS - DISALAAN, RIVIERSONDEREND, RIVIERSONDEREND",693
520,520,"BISSETSDRIFT - BISSETSDRIFT PRIMÃŠR, VYEBOOM, VILLIERSDORP",642
521,521,"BITTERFONTEIN SITE - MANDELA STREET, BITTERFONTEIN, VAN RHYNSDORP",461
522,522,"BLANCO CLC - MONTAGUE STREET, BLANCO, GEORGE",334
523,523,"BLOEKOMBOS ALC - MAGUBUDELA STREET, BLOEKOMBOS, KRAAIFONTEIN",144
524,524,Boland Agri Training & Community Development Centre - Boland Agri Training & Community Development Centre 6 Kiepersol Street Tulbagh Tulbagh Witzenberg Urban 6820,708
528,528,Boland College - 85 Bird Street Stellenbosch CAPE TOWN Western Cape 7599,800
529,528,Boland College - 85 Birdstreet Stellenbosch 7600,800
527,528,Boland College - Boland College,800
115,532,"Boland College (Worcester Campus) (WORCESTER) (TP) - Renier Street, WORCESTER, 6850",385
530,530,Boland Drukpers - Versaille Street,112
531,531,Boland FET College - 71 Aerodrome Road Strand 7139,171
535,535,Boland FET College - College Street Caledon 7230,171
533,533,Boland FET College - Plein Street Paarl,171
532,532,Boland FET College - Rainier Street WORCESTER 6850,171
534,534,Boland FET College - Van Riebeeck Street Stellenbosch 7600,171
536,536,"BONGOLETHU CLC - BONGOLETHU PRIMARY, DYAMALA STREET, PHILLIPI",49
537,537,"BONNIEVALE CLC - THUSONG BUILDING, PADDY STREET, ROBERTSON",107
538,538,"BONTEHEUWEL-BISHOP LAVIS CLC - MODDERDAM HIGH SCHOOL, BONTEHEUWEL AVENUE, BONTEHEUWEL",644
539,539,Bosch Rekenmeesters - FARM SONWEELDEROUTE 45 NORTHERN PAARL 7620,177
540,540,Boston City Campus & Business College (PTY) Ltd (Somerset West) - Ground Floor Twin Oaks Main Street Somerset 7130,137
